driverId,driver_name,skill_score,adjusted_talent_score,talent_score,uncertainty_penalty,mean_residual,std_residual,bad_rate,elite_rate,peak_residual,speed_score,peak_score,elite_score,consistency_score,error_score,confidence,confidence_label,races
44,Olivier Panis,-21.19374534623976,21.19374534623976,28.282352941176466,7.088607594936709,1.4692817,9.455345,0.1111111111111111,0.1452991452991453,-1.1465978622436523,3.5294117647058822,82.35294117647058,78.82352941176471,4.705882352941177,27.058823529411764,0.4936708860759494,LOW,117
814,Paul di Resta,-20.985327164573693,20.985327164573693,30.423529411764704,9.438202247191011,0.46436986,4.6559625,0.034482758620689655,0.017241379310344827,-0.6894156992435455,25.882352941176475,40.0,17.647058823529413,14.117647058823529,67.05882352941175,0.3258426966292135,LOW,58
835,Jolyon Palmer,-20.94973262032085,20.94973262032085,31.85882352941176,10.90909090909091,0.43766668,2.1900585,0.11764705882352941,0.058823529411764705,-0.5003063589334488,30.58823529411765,28.235294117647058,48.23529411764706,31.76470588235294,28.235294117647058,0.22077922077922077,LOW,34
815,Sergio Pérez,-20.409207161125323,20.409207161125323,24.705882352941178,4.296675191815856,0.39809546,12.138864,0.02214022140221402,0.04059040590405904,-0.6391692161560059,22.35294117647059,14.117647058823529,3.5294117647058822,2.3529411764705883,100.0,0.6930946291560103,MEDIUM,271
5,Heikki Kovalainen,-19.604931929103515,19.604931929103515,26.941176470588232,7.336244541484716,0.56190103,2.5271733,0.12844036697247707,0.06422018348623854,-0.7304492115974426,20.0,36.470588235294116,32.94117647058823,34.11764705882353,21.176470588235293,0.4759825327510917,LOW,109
11,Takuma Sato,-17.78190045248869,17.78190045248869,25.858823529411765,8.076923076923077,1.1827698,6.809883,0.19318181818181818,0.13636363636363635,-1.0462113976478575,5.88235294117647,71.76470588235294,72.94117647058823,8.235294117647058,14.117647058823529,0.4230769230769231,LOW,88
821,Esteban Gutiérrez,-16.320407492605987,16.320407492605987,25.70588235294118,9.385474860335195,0.95179874,7.7246346,0.06779661016949153,0.0847457627118644,-0.689504861831665,14.117647058823529,38.82352941176471,55.88235294117647,9.411764705882353,45.88235294117647,0.329608938547486,LOW,59
824,Jules Bianchi,-15.159133126934984,15.159133126934984,26.211764705882352,11.052631578947368,0.8254644,2.0108595,0.21875,0.03125,-0.4511973887681961,21.176470588235293,25.882352941176475,37.64705882352941,37.64705882352941,17.647058823529413,0.21052631578947367,LOW,32
50,Jos Verstappen,-14.80878131156769,14.80878131156769,22.847058823529412,8.038277511961722,0.7042356,1.8042704,0.23595505617977527,0.056179775280898875,-0.5569899082183838,16.470588235294116,17.647058823529413,29.411764705882355,50.588235294117645,5.88235294117647,0.4258373205741627,LOW,89
831,Felipe Nasr,-14.610432852386236,14.610432852386236,25.176470588235293,10.566037735849058,4.7975454,31.20681,0.02564102564102564,0.1282051282051282,-0.9639275312423706,1.1764705882352942,61.1764705882353,68.23529411764706,1.1764705882352942,55.294117647058826,0.24528301886792453,LOW,39
